Reference_ID,Received_At,University,Caller_Name,Outcome_1,Remark,Campaign_ID,Escalation_Required
354851,2023-05-01 15:27:52,Illinois Institute of Technology,Isha,Want to defer,No Remark,IANF23,No
357976,2023-05-01 15:28:53,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
368137,2023-05-01 15:30:45,Illinois Institute of Technology,Shailja,Completed application,No Remark,IANF23,No
346672,2023-05-01 15:31:02,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
360741,2023-05-01 15:32:27,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
370941,2023-05-01 15:33:26,Illinois Institute of Technology,Shailja,Reschedule,No Remark,IANF23,No
363377,2023-05-01 15:34:41,Illinois Institute of Technology,Shailja,Reschedule,No Remark,IANF23,No
370117,2023-05-01 15:37:44,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
355968,2023-05-01 15:39:18,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
363200,2023-05-01 15:40:22,Illinois Institute of Technology,Shailja,Will Submit the docx,No Remark,IANF23,No
352499,2023-05-01 15:40:40,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
348112,2023-05-01 15:41:38,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
365103,2023-05-01 15:43:18,Illinois Institute of Technology,Shailja,Completed application,No Remark,IANF23,No
371387,2023-05-01 15:44:07,Illinois Institute of Technology,Isha,Will Submit the docx,by this week,IANF23,No
346433,2023-05-01 15:44:28,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
355188,2023-05-01 15:45:37,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
357600,2023-05-01 15:45:55,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
351391,2023-05-01 15:48:14,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
351253,2023-05-01 15:50:42,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
330144,2023-05-01 15:52:58,Illinois Institute of Technology,Isha,Not interested,got admitted in another university,IANF23,No
347389,2023-05-01 15:53:31,Illinois Institute of Technology,Shailja,Will Submit the docx,No Remark,IANF23,No
360675,2023-05-01 15:55:32,Illinois Institute of Technology,Isha,Disconnected,No Remark,IANF23,No
346494,2023-05-01 15:55:39,Illinois Institute of Technology,Shailja,Not interested,another uni,IANF23,No
357168,2023-05-01 15:56:46,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
368361,2023-05-01 15:57:29,Illinois Institute of Technology,Isha,Will Submit the docx,within 2-3 weeks,IANF23,No
357841,2023-05-01 15:58:11,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
347391,2023-05-01 15:59:27,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
351330,2023-05-01 16:00:34,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
347926,2023-05-01 16:02:21,Illinois Institute of Technology,Shailja,Completed application,No Remark,IANF23,No
329747,2023-05-01 16:04:15,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
366868,2023-05-01 16:05:19,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
370951,2023-05-01 16:06:38,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
365738,2023-05-01 16:08:58,Illinois Institute of Technology,Shailja,Will Submit the docx,No Remark,IANF23,No
364050,2023-05-01 16:12:26,Illinois Institute of Technology,Shailja,Will Submit the docx,No Remark,IANF23,No
367550,2023-05-01 16:13:40,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
370950,2023-05-01 16:14:46,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
355451,2023-05-01 16:16:20,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
355235,2023-05-01 16:17:35,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
355346,2023-05-01 16:18:35,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
365503,2023-05-01 16:20:24,Illinois Institute of Technology,Shailja,Will Submit the docx,No Remark,IANF23,No
361874,2023-05-01 16:21:33,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
359177,2023-05-01 16:22:46,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
371388,2023-05-01 16:26:53,Illinois Institute of Technology,Shailja,Will Submit the docx,No Remark,IANF23,No
356976,2023-05-01 16:28:12,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
343043,2023-05-01 16:30:15,Illinois Institute of Technology,Shailja,Disconnected,No Remark,IANF23,No
362412,2023-05-01 16:31:51,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
363160,2023-05-01 17:12:08,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
365082,2023-05-01 17:14:36,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
371760,2023-05-01 17:15:47,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
353261,2023-05-01 17:17:07,Illinois Institute of Technology,Isha,Will Submit the docx,by today,IANF23,No
314118,2023-05-01 17:18:05,Illinois Institute of Technology,Shailja,Voicemail,No Remark,IANF23,No
357588,2023-05-01 17:19:22,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
348521,2023-05-01 17:20:40,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
346422,2023-05-01 17:23:47,Illinois Institute of Technology,Shailja,Will Submit the docx,pf of his parents can be shown as source of funds ????,IANF23,Yes
355177,2023-05-01 17:25:04,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
352522,2023-05-01 17:25:27,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
361584,2023-05-01 17:27:14,Illinois Institute of Technology,Shailja,Will Submit the docx,No Remark,IANF23,No
352498,2023-05-01 17:28:06,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
344799,2023-05-01 17:29:27,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
352448,2023-05-01 17:30:05,Illinois Institute of Technology,Isha,Not interested,got admitted in another university,IANF23,No
364032,2023-05-01 17:31:30,Illinois Institute of Technology,Shailja,Will Submit the docx,No Remark,IANF23,No
348573,2023-05-01 17:32:28,Illinois Institute of Technology,Isha,Will Submit the docx,within 1-2 weeks,IANF23,No
348067,2023-05-01 17:33:19,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
358723,2023-05-01 17:34:34,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
345801,2023-05-01 17:35:26,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
363685,2023-05-01 17:36:52,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
350100,2023-05-01 17:37:32,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
346180,2023-05-01 17:38:07,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
359889,2023-05-01 17:38:26,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
362325,2023-05-01 17:39:54,Illinois Institute of Technology,Shailja,Reschedule,No Remark,IANF23,No
346287,2023-05-01 17:39:57,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
351294,2023-05-01 17:41:18,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
352490,2023-05-01 17:43:00,Illinois Institute of Technology,Shailja,Not interested,another uni,IANF23,No
343827,2023-05-01 17:44:18,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
358174,2023-05-01 17:45:44,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
357988,2023-05-01 17:46:44,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
358126,2023-05-01 17:47:58,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
362775,2023-05-01 17:52:15,Illinois Institute of Technology,Shailja,Will Submit the docx,"which letter is req : imprincipal sanction letter or sanction letter from bank , plz revert to his mail",IANF23,Yes
372584,2023-05-01 17:54:04,Illinois Institute of Technology,Shailja,Reschedule,No Remark,IANF23,No
366024,2023-05-01 17:54:13,Illinois Institute of Technology,Isha,Will Submit the docx,by today,IANF23,No
363254,2023-05-01 17:55:18,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
351097,2023-05-01 18:07:41,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
358166,2023-05-01 18:13:56,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
364077,2023-05-01 18:15:56,Illinois Institute of Technology,Isha,Will Submit the docx,within a week,IANF23,No
347181,2023-05-01 18:19:32,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
346961,2023-05-01 18:20:18,Illinois Institute of Technology,Isha,Wrong number,No Remark,IANF23,No
346685,2023-05-01 18:20:28,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
369115,2023-05-01 18:21:26,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
339264,2023-05-01 18:22:49,Illinois Institute of Technology,Shailja,Will Submit the docx,No Remark,IANF23,No
358675,2023-05-01 18:24:54,Illinois Institute of Technology,Shailja,Want to defer,No Remark,IANF23,No
346882,2023-05-01 18:27:59,Illinois Institute of Technology,Isha,Will Submit the docx,within a week,IANF23,No
357585,2023-05-01 18:28:13,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
358406,2023-05-01 18:31:03,Illinois Institute of Technology,Shailja,Will Submit the docx,requires mail contaning fee structure for loan approval nd got no reply,IANF23,Yes
347033,2023-05-01 18:31:56,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
354860,2023-05-01 18:33:55,Illinois Institute of Technology,Shailja,Will Submit the docx,No Remark,IANF23,No
364058,2023-05-01 18:39:54,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
357336,2023-05-01 18:42:32,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
368448,2023-05-01 18:44:46,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
351277,2023-05-01 18:46:32,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
350341,2023-05-01 18:47:19,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
350341,2023-05-01 18:49:33,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
357626,2023-05-01 18:49:38,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
346412,2023-05-01 18:50:15,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
349287,2023-05-01 18:51:29,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
350091,2023-05-01 18:53:03,Illinois Institute of Technology,Isha,Will Submit the docx,within few days,IANF23,No
351000,2023-05-01 18:54:49,Illinois Institute of Technology,Shailja,Will Submit the docx,No Remark,IANF23,No
350551,2023-05-01 18:55:52,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
368534,2023-05-01 18:56:10,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
368450,2023-05-01 18:57:12,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
350481,2023-05-01 18:58:01,Illinois Institute of Technology,Isha,Not interested,got admitted in university,IANF23,No
359462,2023-05-01 19:01:05,Illinois Institute of Technology,Isha,Not interested,got admitted in university,IANF23,No
363437,2023-05-01 19:02:14,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
356010,2023-05-01 19:03:35,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
350735,2023-05-01 19:05:17,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
368327,2023-05-01 19:06:26,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
369706,2023-05-01 19:07:57,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
367761,2023-05-01 19:12:33,Illinois Institute of Technology,Isha,Will Submit the docx,within this week,IANF23,No
367275,2023-05-01 19:14:15,Illinois Institute of Technology,Isha,Completed application,No Remark,IANF23,No
365792,2023-05-01 19:15:55,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
358228,2023-05-01 19:17:12,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
352515,2023-05-01 19:18:31,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
357892,2023-05-01 19:19:41,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
357883,2023-05-01 19:20:44,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
354274,2023-05-01 19:21:48,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
352780,2023-05-01 19:22:54,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
348218,2023-05-01 19:24:59,Illinois Institute of Technology,Isha,Will Submit the docx,within this week,IANF23,No
366610,2023-05-01 19:27:09,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
355462,2023-05-01 19:28:09,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
355467,2023-05-01 19:29:39,Illinois Institute of Technology,Isha,Completed application,No Remark,IANF23,No
355344,2023-05-01 19:30:58,Illinois Institute of Technology,Isha,Disconnected,No Remark,IANF23,No
337472,2023-05-01 19:32:15,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
345909,2023-05-01 19:33:34,Illinois Institute of Technology,Isha,Disconnected,No Remark,IANF23,No
360946,2023-05-01 19:34:59,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
350577,2023-05-01 19:38:32,Illinois Institute of Technology,Isha,Disconnected,No Remark,IANF23,No
352194,2023-05-01 19:39:32,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
346091,2023-05-01 19:40:52,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
368193,2023-05-01 19:42:08,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
348104,2023-05-01 19:43:31,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
365620,2023-05-01 19:44:40,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
346118,2023-05-01 19:45:41,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
345989,2023-05-01 19:46:52,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
345989,2023-05-01 19:47:55,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
328943,2023-05-01 19:48:53,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
347046,2023-05-01 19:49:54,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
346425,2023-05-01 19:53:05,Illinois Institute of Technology,Isha,Want to defer,No Remark,IANF23,No
342880,2023-05-01 19:54:08,Illinois Institute of Technology,Isha,Will Submit the docx,within this week,IANF23,No
369261,2023-05-01 19:56:46,Illinois Institute of Technology,Isha,Will Submit the docx,within few days,IANF23,No
355700,2023-05-01 19:58:43,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
373462,2023-05-01 19:59:28,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
357923,2023-05-01 20:00:53,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
345755,2023-05-01 20:03:17,Illinois Institute of Technology,Isha,Will Submit the docx,within few days,IANF23,No
364455,2023-05-02 11:09:24,Illinois Institute of Technology,Poppy,Not connected,No Remark,IANF23,No
369505,2023-05-02 11:22:55,Illinois Institute of Technology,Isha,Will Submit the docx,within few days,IANF23,No
343659,2023-05-02 11:29:25,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
362191,2023-05-02 11:30:32,Illinois Institute of Technology,Poppy,Reschedule,No Remark,IANF23,No
337122,2023-05-02 11:32:13,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
354665,2023-05-02 11:32:44,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
369665,2023-05-02 11:34:02,Illinois Institute of Technology,Isha,Completed application,No Remark,IANF23,No
351306,2023-05-02 11:35:03,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
343924,2023-05-02 11:36:28,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
351290,2023-05-02 11:36:57,Illinois Institute of Technology,Isha,Will Submit the docx,within few days,IANF23,No
357907,2023-05-02 11:39:23,Illinois Institute of Technology,Shailja,Want to defer,No Remark,IANF23,No
347865,2023-05-02 11:40:50,Illinois Institute of Technology,Poppy,Not connected,No Remark,IANF23,No
355849,2023-05-02 11:41:34,Illinois Institute of Technology,Shailja,Will Submit the docx,No Remark,IANF23,No
360723,2023-05-02 11:46:40,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
346985,2023-05-02 11:53:09,Illinois Institute of Technology,Shailja,Not interested,another uni,IANF23,No
356025,2023-05-02 11:56:00,Illinois Institute of Technology,Poppy,Not connected,No Remark,IANF23,No
